LP|Substancja czynna|Nazwa  postać i dawka|Zawartość opakowania|Numer GTIN lub inny kod jednoznacznie identyfikujący produkt|Termin wejścia w życie decyzji|Okres obowiązywania decyzji|Grupa limitowa|Urzędowa cena zbytu|Cena hurtowa brutto|Cena detaliczna|Wysokość limitu finansowania|Zakres wskazań objętych refundacją|Zakres wskazań pozarejestracyjnych objętych refundacją|Poziom odpłatności|Wysokość dopłaty świadczeniobiorcy
1459|Finasteridum|Uronezyr, tabl. powl., 5 mg|30 szt.|05909991088842|2019-09-01|3 lata|77.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - inhibitory 5-alfa reduktazy|19,44|20,41|25,36|22,19|Przerost gruczołu krokowego||ryczałt|6,37
1460|Finasteridum|Zasterid, tabl. powl., 5 mg|28 szt.|05909991053710|2022-01-01|3 lata|77.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - inhibitory 5-alfa reduktazy|19,98|20,98|25,70|20,71|Przerost gruczołu krokowego||ryczałt|8,19
1461|Fluconazolum|Candifluc/Fluconazolum Aflofarm, syrop, 5 mg/ml|1 but. 150 ml|05909991257804|2021-07-01|3 lata|110.2, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - płynne postacie farmaceutyczne|19,44|20,41|26,65|26,65|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|13,33
1462|Fluconazolum|Flucofast, kaps. twarde, 100 mg|28 szt.|05909990662388|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|78,61|82,54|92,71|70,20|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|57,61
1463|Fluconazolum|Flucofast, kaps. twarde, 100 mg|7 szt.|05909990662371|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|19,65|20,63|24,97|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|16,20
1464|Fluconazolum|Flucofast, kaps., 150 mg|1 szt.|05909990490615|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|4,20|4,41|5,62|3,76|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|3,74
1465|Fluconazolum|Flucofast, kaps. twarde, 150 mg|3 szt.|05907529466339|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|8,66|9,09|12,32|11,28|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|6,68
1466|Fluconazolum|Flucofast, kapsułki twarde, 200 mg|7 kaps.|05909991283247|2017-07-01|5 lat|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|32,40|34,02|40,77|35,10|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|23,22
1467|Fluconazolum|Flucofast, kaps., 50 mg|14 szt.|05909990490523|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|19,65|20,63|24,97|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|16,20
1468|Fluconazolum|Flucofast, kaps., 50 mg|7 szt.|05909990490516|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|9,80|10,29|12,92|8,78|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|8,53
1469|Fluconazolum|Fluconazin, syrop, 5 mg/ml|1 but.po 150 ml|05909991097219|2022-01-01|3 lata|110.2, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - płynne postacie farmaceutyczne|23,76|24,95|31,19|31,19|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|15,60
1470|Fluconazolum|Fluconazole Aurobindo, kaps. twarde, 100 mg|28 szt.|05909990912988|2019-07-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|59,51|62,49|72,66|70,20|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|37,56
1471|Fluconazolum|Fluconazole Aurobindo, kaps. twarde, 100 mg|7 szt.|05909990912896|2019-07-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|15,34|16,11|20,45|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|11,68
1472|Fluconazolum|Fluconazole Aurobindo, kaps. twarde, 200 mg|7 szt.|05909990913466|2019-07-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|30,67|32,20|38,94|35,10|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|21,39
1473|Fluconazolum|Fluconazole Aurobindo, kaps. twarde, 50 mg|14 szt.|05909990912360|2019-07-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|15,34|16,11|20,45|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|11,68
1474|Fluconazolum|Fluconazole Aurobindo, kaps. twarde, 50 mg|7 szt.|05909990912346|2019-07-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|7,67|8,05|10,68|8,78|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|6,29
1475|Fluconazolum|Fluconazole Genoptim, kaps. twarde, 100 mg|28 szt.|05909991262679|2020-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|59,49|62,46|72,63|70,20|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|37,53
1476|Fluconazolum|Fluconazole Genoptim, kaps. twarde, 100 mg|7 szt.|05909991262617|2020-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|15,23|15,99|20,33|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|11,56
1477|Fluconazolum|Fluconazole Genoptim, kaps. twarde, 50 mg|14 szt.|05909991262488|2020-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|15,23|15,99|20,33|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|11,56
1478|Fluconazolum|Fluconazole Genoptim, kaps. twarde, 50 mg|7 szt.|05909991262457|2020-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|7,61|7,99|10,62|8,78|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|6,23
1479|Fluconazolum|Fluconazole Hasco, syrop, 5 mg/ml|1 but. 150 ml|05909991273798|2017-09-01|5 lat|110.2, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - płynne postacie farmaceutyczne|23,76|24,95|31,19|31,19|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|15,60
1480|Fluconazolum|Fluconazole Polfarmex, tabl., 100 mg|28 szt.|05909990780181|2021-05-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|67,44|70,81|80,97|70,20|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|45,87
1481|Fluconazolum|Fluconazole Polfarmex, tabl., 100 mg|7 szt.|05909990859719|2021-05-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|16,96|17,81|22,15|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|13,38
1482|Fluconazolum|Fluconazole Polfarmex, tabl., 150 mg|1 szt.|05909990017874|2021-05-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|3,60|3,78|4,99|3,76|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|3,11
1483|Fluconazolum|Fluconazole Polfarmex, tabl., 150 mg|3 szt.|05909990017881|2021-05-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|10,80|11,34|14,57|11,28|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|8,93
1484|Fluconazolum|Fluconazole Polfarmex, tabl., 200 mg|14 szt.|05909991022556|2021-03-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|66,10|69,41|79,58|70,20|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|44,48
1485|Fluconazolum|Fluconazole Polfarmex, tabl., 200 mg|7 szt.|05909991022549|2021-03-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|33,06|34,71|41,46|35,10|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|23,91
1486|Fluconazolum|Fluconazole Polfarmex, syrop, 5 mg/ml|150 ml (but.)|05909990859511|2021-05-01|3 lata|110.2, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - płynne postacie farmaceutyczne|23,76|24,95|31,19|31,19|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|15,60
1487|Fluconazolum|Fluconazole Polfarmex, tabl., 50 mg|14 szt.|05909990859610|2021-05-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|16,87|17,71|22,05|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|13,28
1488|Fluconazolum|Fluconazole Polfarmex, tabl., 50 mg|7 szt.|05909990859672|2021-05-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|8,43|8,85|11,48|8,78|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|7,09
1489|Fluconazolum|Flukonazol Actavis/Flumycon, kapsułki twarde, 150 mg|1 kaps.|05909990869763|2017-03-01|5 lat|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|3,46|3,63|4,84|3,76|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|2,96
1490|Fluconazolum|Flumycon, kaps. twarde, 100 mg|28 szt.|05909990869756|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|62,90|66,05|76,22|70,20|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|41,12
1491|Fluconazolum|Flumycon, kaps. twarde, 100 mg|7 szt.|05909990869732|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|15,72|16,51|20,85|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|12,08
1492|Fluconazolum|Flumycon, kaps. twarde, 150 mg|7 szt.|05909991365745|2019-09-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|21,21|22,27|27,96|26,33|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|14,80
1493|Fluconazolum|Flumycon, kaps. twarde, 200 mg|7 szt.|05909990869770|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|31,45|33,02|39,77|35,10|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|22,22
1494|Fluconazolum|Flumycon, syrop, 5 mg/ml|150 ml w butelce|05909990841707|2019-05-01|3 lata|110.2, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - płynne postacie farmaceutyczne|24,08|25,28|31,52|31,19|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|15,93
1495|Fluconazolum|Flumycon, kaps. twarde, 50 mg|14 szt.|05909990869695|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|15,72|16,51|20,85|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|12,08
1496|Fluconazolum|Flumycon, kaps. twarde, 50 mg|7 szt.|05909990869688|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|7,86|8,25|10,88|8,78|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|6,49
1497|Fluconazolum|Fluxazol, kaps. twarde, 100 mg|7 szt.|05909991388270|2020-09-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|13,50|14,18|18,52|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|9,75
1498|Fluconazolum|Fluxazol, kaps. twarde, 150 mg|1 szt.|05909991388287|2020-09-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|2,89|3,03|4,24|3,76|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|2,36
1499|Fluconazolum|Fluxazol, kaps. twarde, 200 mg|7 szt.|05909991388294|2020-09-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|27,00|28,35|35,10|35,10|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|17,55
1500|Fluconazolum|Fluxazol, kaps. twarde, 50 mg|7 szt.|05909991388263|2020-09-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|6,75|7,09|9,71|8,78|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|5,32
1501|Fluconazolum|Mycosyst, kaps., 100 mg|28 szt.|05909990980611|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|67,72|71,11|81,28|70,20|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|46,18
1502|Fluconazolum|Mycosyst, kaps., 100 mg|7 szt.|05909990642533|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|14,90|15,65|19,99|17,55|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|11,22
1503|Fluconazolum|Mycosyst, kaps., 200 mg|7 szt.|05909991118914|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|31,32|32,89|39,64|35,10|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|22,09
1504|Fluconazolum|Mycosyst, kaps., 50 mg|7 szt.|05909990980512|2022-01-01|3 lata|110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - stałe postacie farmaceutyczne|7,07|7,42|10,05|8,78|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|5,66
1505|Fludrocortisonum|Cortineff, tabl., 100 µg|20 szt.|05904374007885|2020-11-01|3 lata|80.0, Kortykosteroidy do stosowania ogólnego - mineralokortykoidy - fludrokortyzon|10,48|11,00|14,71|14,71|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
1506|Fluoxetinum|Andepin, kaps. twarde, 20 mg|30 szt.|05909991065515|2022-01-01|3 lata|184.0, Leki przeciwdepresyjne - inhibitory wychwytu zwrotnego serotoniny|14,69|15,42|18,81|13,03|Choroby psychiczne lub upośledzenia umysłowe||30%|9,69
1507|Fluoxetinum|Bioxetin, tabl., 20 mg|30 szt.|05909990372317|2022-01-01|3 lata|184.0, Leki przeciwdepresyjne - inhibitory wychwytu zwrotnego serotoniny|15,30|16,07|19,46|13,03|Choroby psychiczne lub upośledzenia umysłowe||30%|10,34
1508|Fluoxetinum|Fluoksetyna EGIS, kaps. twarde, 20 mg|28 szt.|05909990776955|2022-01-01|3 lata|184.0, Leki przeciwdepresyjne - inhibitory wychwytu zwrotnego serotoniny|11,56|12,14|15,34|12,16|Choroby psychiczne lub upośledzenia umysłowe||30%|6,83
1509|Fluoxetinum|Fluoxetin Polpharma, kaps. twarde, 20 mg|30 szt.|05909990770311|2022-01-01|3 lata|184.0, Leki przeciwdepresyjne - inhibitory wychwytu zwrotnego serotoniny|15,11|15,87|19,26|13,03|Choroby psychiczne lub upośledzenia umysłowe||30%|10,14
1510|Fluoxetinum|Fluoxetine Aurovitas, kaps. twarde, 20 mg|30 tabl.|05909991317621|2019-11-01|3 lata|184.0, Leki przeciwdepresyjne - inhibitory wychwytu zwrotnego serotoniny|10,35|10,87|14,25|13,03|Choroby psychiczne lub upośledzenia umysłowe||30%|5,13
1511|Fluoxetinum|Fluxemed, kaps. twarde, 20 mg|30 szt. (3 blist.po 10 szt.)|05909990742509|2019-05-01|3 lata|184.0, Leki przeciwdepresyjne - inhibitory wychwytu zwrotnego serotoniny|10,37|10,89|14,28|13,03|Choroby psychiczne lub upośledzenia umysłowe||30%|5,16
1512|Fluoxetinum|Seronil, tabl. powl., 10 mg|100 szt.|05909990374328|2022-01-01|3 lata|184.0, Leki przeciwdepresyjne - inhibitory wychwytu zwrotnego serotoniny|38,77|40,71|45,42|21,72|Choroby psychiczne lub upośledzenia umysłowe||30%|30,22
1513|Fluoxetinum|Seronil, tabl. powl., 10 mg|30 szt.|05909990374311|2022-01-01|3 lata|184.0, Leki przeciwdepresyjne - inhibitory wychwytu zwrotnego serotoniny|12,85|13,49|15,42|6,52|Choroby psychiczne lub upośledzenia umysłowe||30%|10,86
1514|Flupentixolum|Fluanxol, tabl. powl., 0.5 mg|50 szt.|05909991074258|2021-05-01|3 lata|179.1, Leki przeciwpsychotyczne - flupentyksol do podawania doustnego - stałe postacie farmaceutyczne|10,80|11,34|13,37|6,29|Choroby psychiczne lub upośledzenia umysłowe||ryczałt|10,28
1515|Flupentixolum|Fluanxol, tabl. powl., 3 mg|50 szt.|05909991074296|2021-05-01|3 lata|179.1, Leki przeciwpsychotyczne - flupentyksol do podawania doustnego - stałe postacie farmaceutyczne|29,16|30,62|37,71|37,71|Choroby psychiczne lub upośledzenia umysłowe||ryczałt|3,20
1516|Flupentixolum|Fluanxol Depot, roztwór do wstrzykiwań, 20 mg/ml|1 amp.po 1 ml|05909990127214|2022-01-01|3 lata|179.2, Leki przeciwpsychotyczne - flupentyksol do podawania pozajelitowego|10,24|10,75|14,40|14,40|Choroby psychiczne lub upośledzenia umysłowe||ryczałt|3,20
1517|Flutamidum|Apo-Flutam, tabl. powl., 250 mg|30 szt.|05909990941612|2022-01-01|3 lata|131.0, Leki przeciwnowotworowe i immunomodulujące - antyandrogeny o budowie niesteroidowej|17,22|18,08|23,21|21,44|Nowotwory złośliwe||bezpłatny do limitu|1,77
1518|Flutamidum|Apo-Flutam, tabl. powl., 250 mg|90 szt.|05909990941629|2022-01-01|3 lata|131.0, Leki przeciwnowotworowe i immunomodulujące - antyandrogeny o budowie niesteroidowej|51,80|54,39|64,33|64,33|Nowotwory złośliwe||bezpłatny do limitu|0,00
1519|Flutamidum|Flutamid Egis, tabl., 250 mg|100 szt.|05909990139217|2022-01-01|3 lata|131.0, Leki przeciwnowotworowe i immunomodulujące - antyandrogeny o budowie niesteroidowej|54,00|56,70|67,24|67,24|Nowotwory złośliwe||bezpłatny do limitu|0,00
1520|Fluticasoni propionas|Fanipos, aerozol do nosa, zawiesina, 50 µg/dawkę|2 poj. po 120 daw.|05908289660371|2021-05-01|3 lata|196.0, Kortykosteroidy do stosowania do nosa|23,76|24,95|30,16|24,86|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|17,73
1521|Fluticasoni propionas|Fanipos, aerozol do nosa, zawiesina, 50 µg/dawkę donosową|1 poj. po 120 daw.|05909990570720|2022-01-01|3 lata|196.0, Kortykosteroidy do stosowania do nosa|11,88|12,47|15,75|12,43|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|9,54
1522|Fluticasoni propionas|Flixonase, aerozol do nosa, zawiesina, 50 µg/dawkę|poj. 10 ml (120 dawek)|05909990933839|2019-05-01|3 lata|196.0, Kortykosteroidy do stosowania do nosa|11,97|12,57|15,85|12,43|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||50%|9,64
1523|Fluticasoni propionas|Flixotide, aerozol inhalacyjny, zawiesina, 125 µg|120 daw.|05909990851423|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|53,46|56,13|62,67|30,05|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|35,82
1524|Fluticasoni propionas|Flixotide, aerozol inhalacyjny, zawiesina, 125 µg|60 daw.|05909990851416|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|27,00|28,35|32,54|15,03|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|20,71
1525|Fluticasoni propionas|Flixotide, aerozol inhalacyjny, zawiesina, 250 µg|120 daw.|05909990851522|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|85,28|89,54|99,43|60,10|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|44,66
1526|Fluticasoni propionas|Flixotide, aerozol inhalacyjny, zawiesina, 250 µg|60 daw.|05909990851515|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|52,92|55,57|62,11|30,05|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|35,26
1527|Fluticasoni propionas|Flixotide, aerozol inhalacyjny, zawiesina, 50 µg/dawkę inhalacyjną|120 daw.|05909990851317|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|24,11|25,32|28,97|12,02|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|20,15
1528|Fluticasoni propionas|Flixotide Dysk, proszek do inhalacji, 100 µg/dawkę inhalacyjną|60 daw.|05909990484621|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|24,59|25,82|29,47|12,02|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|20,65
1529|Fluticasoni propionas|Flixotide Dysk, proszek do inhalacji, 250 µg/dawkę inhalacyjną|60 daw.|05909990484720|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|49,74|52,23|58,77|30,05|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|31,92
1530|Fluticasoni propionas|Flixotide Dysk, proszek do inhalacji, 50 µg/dawkę inhalacyjną|60 daw.|05909990484522|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|16,50|17,33|19,45|6,01|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|16,64
1531|Fluticasoni propionas|Flixotide Dysk, proszek do inhalacji, 500 µg/dawkę inhalacyjną|60 daw.|05909990484829|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|89,10|93,56|103,45|60,10|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|48,68
1532|Fluticasoni propionas|Flurhinal, aerozol inhalacyjny, zawiesina, 125 µg/dawkę inh.|120 daw.|05909991401771|2021-11-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|25,92|27,22|33,76|30,05|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|6,91
1533|Fluticasoni propionas|Flurhinal, aerozol inhalacyjny, zawiesina, 250 µg/dawkę inh.|120 daw.|05909991401788|2021-11-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|51,84|54,43|64,32|60,10|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|9,55
1534|Fluticasoni propionas|Flutixon, proszek do inhalacji w kaps. twardej, 125 µg/dawkę inhalacyjną|60 szt.|05909990785858|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|33,25|34,91|41,45|30,05|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|14,60
1535|Fluticasoni propionas|Flutixon, proszek do inhalacji w kaps. twardej, 250 µg/dawkę inhalacyjną|60 szt.|05909990785889|2022-01-01|3 lata|200.1, Wziewne kortykosteroidy - produkty jednoskładnikowe - proszki i aerozole|61,40|64,47|74,36|60,10|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|19,59
1536|Fluticasoni propionas|Flutixon Neb, zawiesina do nebulizacji, 0.5 mg/2 ml|10 amp. 2 ml|05906414003062|2019-03-01|3 lata|200.3, Wziewne kortykosteroidy - produkty jednoskładnikowe - postacie płynne do nebulizacji w średnich dawkach|21,81|22,90|28,83|28,83|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|3,20
1537|Fluticasoni propionas + Salmeterolum|AirFluSal Forspiro, proszek do inhalacji, podzielony, 250+50 (µg + µg)/dawkę inhalacyjną|1 inhalator 60 dawek|05909991447915|2021-09-01|3 lata|199.2, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w średnich dawkach|68,85|72,29|84,28|84,28|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|3,20
1538|Fluticasoni propionas + Salmeterolum|AirFluSal Forspiro, proszek do inhalacji, podzielony, 250+50 (µg + µg)/dawkę inhalacyjną|1 inhalator 60 dawek|05909991442064|2021-07-01|3 lata|199.2, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w średnich dawkach|70,85|74,39|86,37|86,37|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|3,20
1539|Fluticasoni propionas + Salmeterolum|AirFluSal Forspiro, proszek do inhalacji, 250+50 µg|1 inh.po 60 daw.|05909991274931|2019-11-01|3 lata|199.2, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w średnich dawkach|76,03|79,83|91,81|86,82|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|8,19
1540|Fluticasoni propionas + Salmeterolum|AirFluSal Forspiro, proszek do inhalacji, 500+50 µg|1 inh.po 60 daw.|05909991274955|2019-11-01|3 lata|199.3, Wziewne leki beta-2-adrenergiczne o długim działaniu - produkty złożone z kortykosteroidami w wysokich dawkach|90,72|95,26|108,27|103,16|Astma; Przewlekła obturacyjna choroba płuc; Eozynofilowe zapalenie oskrzeli||ryczałt|8,31
